team,date,symbol,position_type,entry_price,quantity,cost,close_price,market_value,position_status,exit_date,open_profit,profit_percentage,net_value,invested
71b,4/26/2016,skf,Long,$44.70,500,"$22,350",$45.20,"$22,600",Open,,$250.00,1.12%,"$999,430","$22,600.00"
71b,4/26/2016,jpm,Long,$63.27,500,"$31,635",$61.56,"$30,780",Open,,-$855.00,-2.70%,"$998,575","$30,780.00"
71b,4/22/2016,hsbc,Long,$33.70,"1,000","$33,700",$31.56,"$31,560",Open,,"-$2,140.00",-6.35%,"$996,435","$31,560.00"
71b,4/28/2016,gm,Long,$32.23,"2,000","$64,464",$31.00,"$62,000",Open,,"-$2,464.00",-3.82%,"$993,971","$62,000.00"
71b,05/02/2016,cmg,Long,$441.61,50,"$22,081",$31.00,"$1,550",Open,,"-$20,530.50",-92.98%,,"$1,550.00"
71b,05/02/2016,aapl,Long,$95.31,200,"$19,062",$92.74,"$18,548",Open,,-$514.00,-2.70%,,"$18,548.00"
73b,05/02/2016,AAPL,Long,$93.08,"10,600","$986,648",$92.68,"$982,408",Close,05/02/2016,"-$4,240.00",-0.43%,"$995,760",$0.00
73b,05/02/2016,AAPL,short,$92.64,"10,400","$963,456",$92.97,"$966,888",Close,05/02/2016,"-$3,432.00",-0.36%,"$992,328",$0.00
73b,05/02/2016,AAPL,short,$92.94,"10,600","$985,164",$93.64,"$992,584",Close,05/02/2016,"-$7,420.00",-0.75%,"$984,908",$0.00
73b,05/02/2016,AAPL,Long,$93.69,"10,000","$936,900",$93.05,"$930,500",Close,05/09/2016,"-$6,400.00",-0.68%,"$978,508",$0.00
73b,05/02/2016,AMZN,Long,$683.22,"1,000","$683,220",$674.49,"$674,490",Close,05/03/2016,"-$8,730.00",-1.28%,"$969,778",$0.00
73b,05/04/2016,EBAY,Long,$53.55,"4,100","$219,555",$52.78,"$216,398",Close,05/09/2016,"-$3,157.00",-1.44%,"$966,621",$0.00
7773b,04/11/2016,TEVA,Short,$55.91,200,"$11,182",$54.96,"$10,992",Closed,04/15/2016,$190.00,1.70%,"$1,000,190",$0.00
7773b,04/11/2016,FB,Short,$108.99,100,"$10,899",$108.99,"$10,899",Closed,04/12/2016,$0.00,0.00%,"$1,000,190",$0.00
7773b,04/15/2016,AMZN,Long,$623.04,100,"$62,304",$630.19,"$63,019",Closed,04/18/2016,$715.00,1.15%,"$1,000,905",$0.00
7773b,04/18/2016,AAPL,Short,$108.88,"4,000","$435,520",$107.58,"$430,320",Closed,04/18/2016,"$5,200.00",1.19%,"$1,006,105",$0.00
7773b,04/18/2016,AAPL,Short,$107.44,"10,000","$1,074,400",$105.53,"$1,055,300",Closed,04/22/2016,"$19,100.00",1.78%,"$1,025,205",$0.00
